"PROVCONTURB","TOT","SINO","PROPINTER","CONTURB","AN","AS","FE","MA","PE"
"Ancona","37","SI","7","32","14","5","4","1","8"
"Ascoli Piceno","22","NO","116","91","23","17","10","16","25"
"Fermo","14",
"Macerata","17",
"Pesaro e Urbino","32",
